,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
0,0.0,-inf,1e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
1,0.001,-31635.72701,1e-06,"(1, 1)","[-32586.5247532, -30718.5105554, -31602.1457214]",log_likelihood,CountVectorizer
2,0.05,-24703.6363829,1e-06,"(1, 1)","[-25227.061036, -23819.9228348, -25063.9252779]",log_likelihood,CountVectorizer
3,0.1,-23841.4521983,1e-06,"(1, 1)","[-24295.507656, -22967.7290485, -24261.1198903]",log_likelihood,CountVectorizer
4,0.5,-22284.7132722,1e-06,"(1, 1)","[-22583.8816352, -21443.9160305, -22826.3421509]",log_likelihood,CountVectorizer
5,1.0,-21729.8557989,1e-06,"(1, 1)","[-21971.8448754, -20899.4916676, -22318.2308536]",log_likelihood,CountVectorizer
6,0.0,-inf,5e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
7,0.001,-31635.72701,5e-06,"(1, 1)","[-32586.5247532, -30718.5105554, -31602.1457214]",log_likelihood,CountVectorizer
8,0.05,-24703.6363829,5e-06,"(1, 1)","[-25227.061036, -23819.9228348, -25063.9252779]",log_likelihood,CountVectorizer
9,0.1,-23841.4521983,5e-06,"(1, 1)","[-24295.507656, -22967.7290485, -24261.1198903]",log_likelihood,CountVectorizer
10,0.5,-22284.7132722,5e-06,"(1, 1)","[-22583.8816352, -21443.9160305, -22826.3421509]",log_likelihood,CountVectorizer
11,1.0,-21729.8557989,5e-06,"(1, 1)","[-21971.8448754, -20899.4916676, -22318.2308536]",log_likelihood,CountVectorizer
12,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
13,0.001,-31635.72701,1e-05,"(1, 1)","[-32586.5247532, -30718.5105554, -31602.1457214]",log_likelihood,CountVectorizer
14,0.05,-24703.6363829,1e-05,"(1, 1)","[-25227.061036, -23819.9228348, -25063.9252779]",log_likelihood,CountVectorizer
15,0.1,-23841.4521983,1e-05,"(1, 1)","[-24295.507656, -22967.7290485, -24261.1198903]",log_likelihood,CountVectorizer
16,0.5,-22284.7132722,1e-05,"(1, 1)","[-22583.8816352, -21443.9160305, -22826.3421509]",log_likelihood,CountVectorizer
17,1.0,-21729.8557989,1e-05,"(1, 1)","[-21971.8448754, -20899.4916676, -22318.2308536]",log_likelihood,CountVectorizer
18,0.0,-inf,5e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
19,0.001,-30558.3519241,5e-05,"(1, 1)","[-31585.5618155, -29737.0311627, -30352.462794]",log_likelihood,CountVectorizer
20,0.05,-24631.1180469,5e-05,"(1, 1)","[-25196.1219068, -23744.2592228, -24952.973011]",log_likelihood,CountVectorizer
21,0.1,-23865.8890318,5e-05,"(1, 1)","[-24358.5742381, -22972.0430201, -24267.0498372]",log_likelihood,CountVectorizer
22,0.5,-22403.1732781,5e-05,"(1, 1)","[-22724.6402244, -21540.106407, -22944.7732028]",log_likelihood,CountVectorizer
23,1.0,-21835.8181182,5e-05,"(1, 1)","[-22087.9933603, -20994.585296, -22424.8756983]",log_likelihood,CountVectorizer
24,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
25,0.001,-27697.2878335,0.0001,"(1, 1)","[-28266.7382598, -26949.9732836, -27875.1519571]",log_likelihood,CountVectorizer
