,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
0,0.0,-inf,1e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
1,0.001,-8450.28932015,1e-06,"(1, 1)","[-8728.62855391, -8424.75990393, -8197.4795026]",log_likelihood,CountVectorizer
2,0.05,-5959.12560587,1e-06,"(1, 1)","[-6220.68058004, -5879.98671392, -5776.70952365]",log_likelihood,CountVectorizer
3,0.1,-5625.18776438,1e-06,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
4,0.5,-5017.18831792,1e-06,"(1, 1)","[-5316.95037019, -4928.31791983, -4806.29666375]",log_likelihood,CountVectorizer
5,1.0,-4819.11960729,1e-06,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
6,0.0,-inf,5e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
7,0.001,-8450.28932015,5e-06,"(1, 1)","[-8728.62855391, -8424.75990393, -8197.4795026]",log_likelihood,CountVectorizer
8,0.05,-5959.12560587,5e-06,"(1, 1)","[-6220.68058004, -5879.98671392, -5776.70952365]",log_likelihood,CountVectorizer
9,0.1,-5625.18776438,5e-06,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
10,0.5,-5017.18831792,5e-06,"(1, 1)","[-5316.95037019, -4928.31791983, -4806.29666375]",log_likelihood,CountVectorizer
11,1.0,-4819.11960729,5e-06,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
12,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
13,0.001,-8450.28932015,1e-05,"(1, 1)","[-8728.62855391, -8424.75990393, -8197.4795026]",log_likelihood,CountVectorizer
14,0.05,-5959.12560587,1e-05,"(1, 1)","[-6220.68058004, -5879.98671392, -5776.70952365]",log_likelihood,CountVectorizer
15,0.1,-5625.18776438,1e-05,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
16,0.5,-5017.18831792,1e-05,"(1, 1)","[-5316.95037019, -4928.31791983, -4806.29666375]",log_likelihood,CountVectorizer
17,1.0,-4819.11960729,1e-05,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
18,0.0,-inf,5e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
19,0.001,-8450.28932015,5e-05,"(1, 1)","[-8728.62855391, -8424.75990393, -8197.4795026]",log_likelihood,CountVectorizer
20,0.05,-5959.12560587,5e-05,"(1, 1)","[-6220.68058004, -5879.98671392, -5776.70952365]",log_likelihood,CountVectorizer
21,0.1,-5625.18776438,5e-05,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
22,0.5,-5017.18831792,5e-05,"(1, 1)","[-5316.95037019, -4928.31791983, -4806.29666375]",log_likelihood,CountVectorizer
23,1.0,-4819.11960729,5e-05,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
24,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
25,0.001,-8450.28932015,0.0001,"(1, 1)","[-8728.62855391, -8424.75990393, -8197.4795026]",log_likelihood,CountVectorizer
26,0.05,-5959.12560587,0.0001,"(1, 1)","[-6220.68058004, -5879.98671392, -5776.70952365]",log_likelihood,CountVectorizer
27,0.1,-5625.18776438,0.0001,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
28,0.5,-5017.18831792,0.0001,"(1, 1)","[-5316.95037019, -4928.31791983, -4806.29666375]",log_likelihood,CountVectorizer
29,1.0,-4819.11960729,0.0001,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
30,0.0,-inf,1e-06,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
31,0.001,-21498.4894009,1e-06,"(1, 2)","[-22651.5777068, -21850.5188098, -19993.371686]",log_likelihood,CountVectorizer
